timestamp,date,open,high,low,close,volume
1663127100,2022-09-14,3135.00,3141.40,3113.80,3120.40,5090269
1663213500,2022-09-15,3130.00,3137.75,3100.00,3104.35,2138023
1663299900,2022-09-16,3076.00,3094.35,3000.00,3008.70,5322221
1663559100,2022-09-19,3036.00,3042.00,2987.80,3028.80,2072220
1663645500,2022-09-20,3050.00,3079.95,3030.00,3040.30,1544295
1663731900,2022-09-21,3028.00,3041.40,2998.15,3001.20,2253818
1663818300,2022-09-22,2990.00,3029.95,2979.30,3007.40,2017983
1663904700,2022-09-23,3004.00,3022.50,2979.00,2982.05,2652374
1664163900,2022-09-26,2959.85,3025.85,2926.10,2994.40,2925489
1664250300,2022-09-27,3009.40,3025.00,2976.00,3017.45,2227447
1664336700,2022-09-28,2980.00,3049.95,2980.00,3035.65,2739767
1664423100,2022-09-29,3054.00,3055.85,2990.00,2997.30,2493902
1664509500,2022-09-30,2990.85,3019.70,2950.10,3004.55,2817353
1664768700,2022-10-03,2995.00,3020.70,2974.00,2984.95,1763331
1664855100,2022-10-04,3029.95,3098.00,3023.00,3091.15,2145875
1665027900,2022-10-06,3111.00,3124.00,3092.45,3101.95,1790816
1665114300,2022-10-07,3097.40,3105.00,3058.10,3064.90,1939879
1665373500,2022-10-10,3010.00,3127.00,3005.00,3118.55,3064063
1665459900,2022-10-11,3100.00,3145.00,3053.35,3069.55,4730645
1665546300,2022-10-12,3084.90,3109.90,3062.05,3100.75,1665247
1665632700,2022-10-13,3100.75,3110.00,3052.35,3103.30,2054781
1665719100,2022-10-14,3145.00,3150.00,3071.00,3099.15,2245977
1665978300,2022-10-17,3072.65,3128.40,3071.45,3111.75,1517005
1666064700,2022-10-18,3150.00,3155.35,3128.55,3144.70,1793722
1666151100,2022-10-19,3159.00,3159.00,3112.00,3121.85,1194289
1666237500,2022-10-20,3105.00,3160.00,3105.00,3157.30,1587601
1666323900,2022-10-21,3157.80,3160.40,3127.00,3137.40,1021913
1666615500,2022-10-24,3170.10,3178.00,3155.00,3161.70,260949
1666669500,2022-10-25,3180.50,3184.25,3151.15,3162.10,2069643
1666842300,2022-10-27,3160.70,3174.00,3134.35,3157.40,2438421
1666928700,2022-10-28,3150.00,3178.50,3145.00,3163.25,1355739
1667187900,2022-10-31,3199.00,3199.00,3177.80,3193.15,1919414
1667274300,2022-11-01,3214.50,3262.60,3203.45,3259.70,2991060
1667360700,2022-11-02,3270.00,3270.00,3222.05,3241.70,1405955
1667447100,2022-11-03,3228.05,3228.05,3195.00,3206.75,1422652
1667533500,2022-11-04,3217.00,3220.05,3166.15,3217.40,1464013
1667792700,2022-11-07,3229.00,3242.80,3195.10,3233.70,1474498
1667965500,2022-11-09,3249.80,3249.80,3201.65,3216.05,1162267
1668051900,2022-11-10,3170.00,3225.00,3170.00,3205.65,1573092
1668138300,2022-11-11,3269.60,3341.60,3255.05,3315.95,3265394
1668397500,2022-11-14,3324.00,3349.00,3309.00,3335.50,1342074
1668483900,2022-11-15,3321.00,3339.95,3292.00,3332.60,1400708
1668570300,2022-11-16,3338.90,3367.90,3321.45,3355.35,1748235
1668656700,2022-11-17,3340.00,3360.00,3317.75,3349.00,1417986
1668743100,2022-11-18,3350.00,3362.75,3321.00,3343.45,1164540
1669002300,2022-11-21,3322.50,3333.70,3273.00,3283.50,1304194
1669088700,2022-11-22,3280.00,3318.95,3255.25,3314.95,1149739
1669175100,2022-11-23,3330.00,3330.00,3291.00,3308.30,1150011
1669261500,2022-11-24,3316.25,3392.95,3308.30,3380.15,1296591
1669347900,2022-11-25,3383.00,3403.35,3348.00,3389.65,1588981
1669607100,2022-11-28,3366.00,3417.00,3365.55,3395.25,2195437
1669693500,2022-11-29,3383.00,3429.00,3383.00,3397.35,1576028
1669779900,2022-11-30,3383.00,3414.90,3375.00,3390.80,3410702
1669866300,2022-12-01,3425.00,3480.00,3420.00,3475.65,2180856
1669952700,2022-12-02,3458.10,3468.90,3413.00,3439.15,2411749
1670211900,2022-12-05,3433.00,3439.15,3407.00,3425.90,1475065
1670298300,2022-12-06,3400.05,3407.95,3368.00,3385.35,1166999
1670384700,2022-12-07,3368.30,3393.70,3354.00,3380.60,1167505
1670471100,2022-12-08,3360.00,3380.60,3339.45,3350.55,1285619
1670557500,2022-12-09,3374.10,3374.10,3276.35,3292.75,1797896
1670816700,2022-12-12,3255.50,3296.00,3236.10,3286.45,1527610
1670903100,2022-12-13,3277.20,3336.45,3267.80,3332.10,1378016
1670989500,2022-12-14,3348.80,3377.00,3340.90,3365.35,1213311
1671075900,2022-12-15,3358.80,3364.75,3298.95,3305.10,1415694
1671162300,2022-12-16,3275.00,3292.00,3225.20,3240.25,2703680
1671421500,2022-12-19,3227.00,3245.50,3194.50,3202.05,2120965
1671507900,2022-12-20,3198.90,3249.00,3163.65,3243.95,1529971
1671594300,2022-12-21,3249.00,3283.05,3240.00,3268.55,1432566
1671680700,2022-12-22,3294.00,3294.00,3245.10,3259.70,1384101
1671767100,2022-12-23,3217.00,3266.85,3217.00,3228.35,1360281
1672026300,2022-12-26,3228.35,3272.00,3225.05,3252.90,870157
1672112700,2022-12-27,3269.20,3273.80,3231.50,3259.50,835883
1672199100,2022-12-28,3249.80,3266.10,3226.00,3257.10,910795
1672285500,2022-12-29,3231.10,3271.50,3228.00,3268.75,1037927
1672371900,2022-12-30,3286.05,3299.00,3246.20,3256.70,1163131
1672631100,2023-01-02,3261.00,3266.85,3235.20,3261.45,709547
1672717500,2023-01-03,3252.00,3320.00,3245.30,3311.35,1245178
1672803900,2023-01-04,3306.70,3327.35,3286.20,3314.65,1231668
1672890300,2023-01-05,3330.20,3337.30,3281.95,3311.10,1826057
1672976700,2023-01-06,3300.00,3301.55,3200.00,3211.55,2488376
1673235900,2023-01-09,3229.00,3327.00,3221.15,3319.95,2885060
1673322300,2023-01-10,3285.00,3298.00,3230.10,3286.40,3864655
1673408700,2023-01-11,3290.10,3349.50,3271.15,3328.70,2720512
1673495100,2023-01-12,3329.00,3350.00,3315.55,3334.35,2250391
1673581500,2023-01-13,3342.90,3379.00,3305.00,3374.55,1742837
1673840700,2023-01-16,3317.00,3353.00,3298.05,3334.05,1843607
1673927100,2023-01-17,3330.00,3381.80,3321.00,3378.40,1688475
1674013500,2023-01-18,3380.00,3408.95,3372.25,3390.00,2421189
1674099900,2023-01-19,3380.00,3387.00,3361.00,3373.10,1585044
1674186300,2023-01-20,3365.00,3394.65,3355.60,3363.10,1529349
1674445500,2023-01-23,3388.00,3419.00,3355.60,3414.90,1067916
1674531900,2023-01-24,3425.00,3451.95,3417.30,3436.30,1387863
1674618300,2023-01-25,3425.30,3435.00,3405.00,3429.75,874110
1674791100,2023-01-27,3426.00,3446.00,3382.30,3411.05,1785879
1675050300,2023-01-30,3420.00,3458.45,3385.55,3433.65,1953798
1675136700,2023-01-31,3449.00,3449.00,3351.00,3358.70,2820375
1675223100,2023-02-01,3363.00,3419.00,3355.00,3408.35,2205161
1675309500,2023-02-02,3427.00,3469.00,3420.10,3460.40,1813847
1675395900,2023-02-03,3504.00,3504.00,3452.90,3482.30,1804469
1675655100,2023-02-06,3473.15,3473.15,3436.85,3459.95,1138714
1675741500,2023-02-07,3468.90,3493.00,3461.40,3472.55,1455647
1675827900,2023-02-08,3478.05,3539.90,3478.05,3520.10,1986946
1675914300,2023-02-09,3515.00,3547.60,3505.30,3540.85,1655427
1676000700,2023-02-10,3520.00,3542.35,3508.15,3537.55,1187821
1676259900,2023-02-13,3549.00,3549.00,3473.40,3482.40,1087939
